source_id,cab,name,recovery_products,files
102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,2420885211496853281,highest-quality,1
102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,Avatar_Female_Size02_Remielle_Origin_Ani_Move_F_AirBack_Loop,scalar-full-source,1
102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Move_F_AirBack_Loop,scalar-full-source,1
102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,acl-database-bulk,scalar-full-source,2
102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,native-object,scalar-full-source,2
102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,streaming-info,scalar-full-source,2
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,-5433537715502596119,highest-quality,1
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,8521723471483421154,highest-quality,1
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,Avatar_Female_Size02_Remielle_Origin_Ani_Walk_End,scalar-full-source,1
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Walk_End,scalar-full-source,1
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,acl-database-bulk,scalar-full-source,2
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,native-object,scalar-full-source,2
102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,streaming-info,scalar-full-source,2
1142011360,CAB-0d2764bbd9198836d4bfd1899f3dd52f,Eff_RemielleOrigin_Skill_01_01_Feather,scalar-full-source|standalone-native,2
1142011360,CAB-0d2764bbd9198836d4bfd1899f3dd52f,native-object,scalar-full-source,1
1142011360,CAB-1ce135978d09e031bb8aa60c1d3da48a,Eff_RemielleOrigin_DtoS1_01_Feather,scalar-full-source|standalone-native,2
1142011360,CAB-1ce135978d09e031bb8aa60c1d3da48a,native-object,scalar-full-source,1
1142011360,CAB-1eda398b5d574f1e3e15e88f8255c9b7,Eff_RemielleOrigin_S1toE_01_Feather,scalar-full-source|standalone-native,2
1142011360,CAB-1eda398b5d574f1e3e15e88f8255c9b7,native-object,scalar-full-source,1
1142011360,CAB-2633c12e9540af229a2e0eb4707af800,Eff_RemielleOrigin_DtoS1_02_Flare,scalar-full-source|standalone-native,2
1142011360,CAB-2633c12e9540af229a2e0eb4707af800,native-object,scalar-full-source,1
1142011360,CAB-40360f67660cfd7bcfdb87cd6b6d5d77,Avatar_Female_Size02_Remielle_Ani_UI_S1toD,scalar-full-source|standalone-native,2
1142011360,CAB-40360f67660cfd7bcfdb87cd6b6d5d77,native-object,scalar-full-source,1
1142011360,CAB-573fab6f699cbfa99ae0b18eb39499ce,Eff_RemielleOrigin_S1toD_01_Feather,scalar-full-source|standalone-native,2
1142011360,CAB-573fab6f699cbfa99ae0b18eb39499ce,native-object,scalar-full-source,1
1142011360,CAB-8c5c571c9f4c668d726dab90381d46a1,Eff_RemielleOrigin_Skill_01_02_Flare,scalar-full-source|standalone-native,2
1142011360,CAB-8c5c571c9f4c668d726dab90381d46a1,native-object,scalar-full-source,1
1142011360,CAB-91de6474ea1d7f1621b96d3a4c8fc41b,Eff_RemielleOrigin_S1toD_02_Flare,scalar-full-source|standalone-native,2
1142011360,CAB-91de6474ea1d7f1621b96d3a4c8fc41b,native-object,scalar-full-source,1
1142011360,CAB-aa60e94a0ac45618ac218bd885410a8f,Eff_RemielleOrigin_S1toE_02_Flare,scalar-full-source|standalone-native,2
1142011360,CAB-aa60e94a0ac45618ac218bd885410a8f,native-object,scalar-full-source,1
1142011360,CAB-e3882721d7998c399ffbd2175c4d4b00,Avatar_Female_Size02_Remielle_Ani_UI_DtoS1,scalar-full-source|standalone-native,2
1142011360,CAB-e3882721d7998c399ffbd2175c4d4b00,native-object,scalar-full-source,1
1186972585,CAB-025ec63081710535a751715600ae5afc,1539313848409567955,highest-quality,1
1186972585,CAB-025ec63081710535a751715600ae5afc,6811696467375545514,highest-quality,1
1186972585,CAB-025ec63081710535a751715600ae5afc,Avatar_Female_Size02_Remielle_Origin_Ani_UI_Equipment,scalar-full-source,1
1186972585,CAB-025ec63081710535a751715600ae5afc,Avatar_Female_Size02_Remielle_Origin_Default_Ani_UI_Equipment,scalar-full-source,1
1186972585,CAB-025ec63081710535a751715600ae5afc,acl-database-bulk,scalar-full-source,2
1186972585,CAB-025ec63081710535a751715600ae5afc,native-object,scalar-full-source,2
1186972585,CAB-025ec63081710535a751715600ae5afc,streaming-info,scalar-full-source,2
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,-4642342276331182895,highest-quality,1
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,-5130596990700648998,highest-quality,1
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Think_Loop,scalar-full-source,1
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Think_Loop,scalar-full-source,1
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,acl-database-bulk,scalar-full-source,2
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,native-object,scalar-full-source,2
1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,streaming-info,scalar-full-source,2
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,-4170381540393360754,highest-quality,1
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,-4412330399154329950,highest-quality,1
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Happy_End,scalar-full-source,1
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Happy_End,scalar-full-source,1
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,acl-database-bulk,scalar-full-source,2
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,native-object,scalar-full-source,2
1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,streaming-info,scalar-full-source,2
1186972585,CAB-6db348098761db4032082455b032f42f,1253384568466234109,highest-quality,1
1186972585,CAB-6db348098761db4032082455b032f42f,2555431876738953443,highest-quality,1
1186972585,CAB-6db348098761db4032082455b032f42f,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Idle,scalar-full-source,1
